lat,lon,depth_m,dataset,source
-25.5573,113.9147,86.7,SW Australia,GlobalArchive / Harvey 2013
-26.0412,113.3798,94.8,SW Australia,GlobalArchive / Harvey 2013
-25.8092,113.398,56.6,SW Australia,GlobalArchive / Harvey 2013
-25.7418,113.4178,111.4,SW Australia,GlobalArchive / Harvey 2013
-25.7989,113.7753,86.7,SW Australia,GlobalArchive / Harvey 2013
-25.9265,113.6454,52.5,SW Australia,GlobalArchive / Harvey 2013
-25.5221,113.7394,107.9,SW Australia,GlobalArchive / Harvey 2013
-25.9237,113.5754,51.8,SW Australia,GlobalArchive / Harvey 2013
-25.3954,113.4279,85.1,SW Australia,GlobalArchive / Harvey 2013
-25.9157,113.136,106.1,SW Australia,GlobalArchive / Harvey 2013
-25.5738,113.0738,72.1,SW Australia,GlobalArchive / Harvey 2013
-25.3283,114.0028,89.4,SW Australia,GlobalArchive / Harvey 2013
-26.2472,113.501,81.1,SW Australia,GlobalArchive / Harvey 2013
-25.9697,113.6396,107.7,SW Australia,GlobalArchive / Harvey 2013
-25.9333,113.6736,71.3,SW Australia,GlobalArchive / Harvey 2013
-25.741,113.8616,82.8,SW Australia,GlobalArchive / Harvey 2013
-25.9711,113.6584,49,SW Australia,GlobalArchive / Harvey 2013
-26.5641,113.5066,48.3,SW Australia,GlobalArchive / Harvey 2013
-26.5101,113.6857,84.5,SW Australia,GlobalArchive / Harvey 2013
-25.57,113.5868,60.2,SW Australia,GlobalArchive / Harvey 2013
-25.9767,113.3428,57.4,SW Australia,GlobalArchive / Harvey 2013
-26.3453,113.7396,112.5,SW Australia,GlobalArchive / Harvey 2013
-25.943,113.5411,49,SW Australia,GlobalArchive / Harvey 2013
-25.5963,113.4913,48.9,SW Australia,GlobalArchive / Harvey 2013
-25.4262,113.2698,46.8,SW Australia,GlobalArchive / Harvey 2013
-26.0076,113.787,71.2,SW Australia,GlobalArchive / Harvey 2013
-25.9643,113.4025,69.7,SW Australia,GlobalArchive / Harvey 2013
-26.3408,113.4752,86,SW Australia,GlobalArchive / Harvey 2013
-25.785,113.493,96.6,SW Australia,GlobalArchive / Harvey 2013
-26.06,113.4858,72.8,SW Australia,GlobalArchive / Harvey 2013
-25.7861,113.6389,49.5,SW Australia,GlobalArchive / Harvey 2013
-25.7238,113.7255,94.6,SW Australia,GlobalArchive / Harvey 2013
-25.6412,113.6342,61.2,SW Australia,GlobalArchive / Harvey 2013
-26.0522,113.1322,109.8,SW Australia,GlobalArchive / Harvey 2013
-25.7738,112.8977,92.1,SW Australia,GlobalArchive / Harvey 2013
-26.3293,113.4087,91.3,SW Australia,GlobalArchive / Harvey 2013
-26.0961,113.4547,51.9,SW Australia,GlobalArchive / Harvey 2013
-26.1127,113.4627,80.6,SW Australia,GlobalArchive / Harvey 2013
-26.5036,113.1518,110.4,SW Australia,GlobalArchive / Harvey 2013
-25.891,113.3302,70.2,SW Australia,GlobalArchive / Harvey 2013
-25.8485,113.0452,59.6,SW Australia,GlobalArchive / Harvey 2013
-25.9903,114.1597,51.2,SW Australia,GlobalArchive / Harvey 2013
-25.7105,113.6367,67.4,SW Australia,GlobalArchive / Harvey 2013
-26.0817,113.4985,81.3,SW Australia,GlobalArchive / Harvey 2013
-26.2421,113.0275,107,SW Australia,GlobalArchive / Harvey 2013
-25.7918,113.4333,89.3,SW Australia,GlobalArchive / Harvey 2013
-26.1028,113.7051,94.4,SW Australia,GlobalArchive / Harvey 2013
-25.539,113.6945,81.8,SW Australia,GlobalArchive / Harvey 2013
-26.0079,113.6135,101.3,SW Australia,GlobalArchive / Harvey 2013
-25.7361,113.8525,74.8,SW Australia,GlobalArchive / Harvey 2013
-25.8195,113.0472,53.8,SW Australia,GlobalArchive / Harvey 2013
-26.096,113.2244,49.7,SW Australia,GlobalArchive / Harvey 2013
-25.5061,113.4952,104.9,SW Australia,GlobalArchive / Harvey 2013
-25.7393,113.5373,81.1,SW Australia,GlobalArchive / Harvey 2013
-25.8776,113.3669,79.8,SW Australia,GlobalArchive / Harvey 2013
-25.8309,113.7995,114.6,SW Australia,GlobalArchive / Harvey 2013
-25.7302,112.9894,93,SW Australia,GlobalArchive / Harvey 2013
-25.8775,113.2464,95.2,SW Australia,GlobalArchive / Harvey 2013
-26.6483,113.901,80.7,SW Australia,GlobalArchive / Harvey 2013
-25.8288,113.7231,51.4,SW Australia,GlobalArchive / Harvey 2013
-25.9918,113.1206,75.1,SW Australia,GlobalArchive / Harvey 2013
-25.8537,113.7059,89.9,SW Australia,GlobalArchive / Harvey 2013
-25.7545,113.5914,113.8,SW Australia,GlobalArchive / Harvey 2013
-25.5501,113.1673,98.3,SW Australia,GlobalArchive / Harvey 2013
-26.0818,113.5899,51.3,SW Australia,GlobalArchive / Harvey 2013
-25.5744,113.7232,107.5,SW Australia,GlobalArchive / Harvey 2013
-25.816,113.2512,109.6,SW Australia,GlobalArchive / Harvey 2013
-25.6404,113.6299,56.2,SW Australia,GlobalArchive / Harvey 2013
-25.6698,113.1911,70.8,SW Australia,GlobalArchive / Harvey 2013
-25.7198,113.6324,70.2,SW Australia,GlobalArchive / Harvey 2013
-26.1608,113.2542,61.1,SW Australia,GlobalArchive / Harvey 2013
-25.9225,113.4061,102.7,SW Australia,GlobalArchive / Harvey 2013
-25.7441,113.2396,97.9,SW Australia,GlobalArchive / Harvey 2013
-26.1384,113.6744,66,SW Australia,GlobalArchive / Harvey 2013
-26.0357,113.4639,68.8,SW Australia,GlobalArchive / Harvey 2013
-25.7548,113.6246,47.5,SW Australia,GlobalArchive / Harvey 2013
-25.708,113.6543,102.3,SW Australia,GlobalArchive / Harvey 2013
-25.7841,113.4989,80.7,SW Australia,GlobalArchive / Harvey 2013
-26.1214,113.4772,56.8,SW Australia,GlobalArchive / Harvey 2013
-26.1749,113.6,86.8,SW Australia,GlobalArchive / Harvey 2013
